run,sp,rep,camfile,plateau_level,plateau_s,eval_n,dt_onset,dt_refined,dt_transition,d_ref_onset,d_ref_tran,rms_onset,rms_refined,rms_transition,mae_onset,mae_refined,mae_transition,bias_onset,bias_refined,bias_transition,corr_refined,cam_total_deg,enc_total_deg,cam_span_deg,enc_span_deg,dt_med_ms,dt_sd_ms,dt_core_sd_ms,dt_mad_ms,dt_p99_ms,dt_max_ms,n_gaps,n_int,est_dropped,rep_n,dRMS_onset,pct_onset,dMAE_onset,dBIAS_onset,dRMS_transition,pct_transition,dMAE_transition,dBIAS_transition,angle_pct_diff
seconed_test_210deg-s,210,seconed,apriltag_multitag_fused_20260615_184313.xlsx,212.686614616104,21.880000000000003,1888,-3.08,-3.03400000000006,-3.0230000000000614,0.04599999999993987,-0.010999999999998789,6.316256037225553,6.322517815692152,6.327212055598817,4.495275914716399,4.505701712178919,4.509091504968764,-0.5251744422819695,-0.5504463551869455,-0.5570275880457377,0.8551124353044618,4709.06296086916,4706.951871657754,4709.087041506516,4706.951871657754,29.000043869018555,4.379327502234274,2.50973249900334,0.9999275207519531,44.869878292083634,126.9998550415039,16,1314,19,2,-0.006261778466599033,-0.0990393170748785,-0.010425797462519704,0.02527191290497599,0.004694239906664954,0.07424636898632536,0.003389792789845636,-0.0065812328587921964,0.044850452457721
third_test_210deg-s,210,third,apriltag_multitag_fused_20260615_184625.xlsx,212.6969600445002,27.34,2434,-10.68,-10.617000000000312,-10.610000000000316,0.06299999999968797,-0.0069999999999961204,3.535208954860034,3.546794127451719,3.5523672558212334,2.2404918360786894,2.2523528411509983,2.258981487821075,-0.40363172290457094,-0.39249492095359173,-0.3916739612384514,0.9280660119063445,5857.4905810351,5856.256684491978,5857.506736439447,5856.256684491978,29.000043869018555,3.8394552433140823,1.8728292635938812,0.9999275207519531,38.00010681152344,131.99996948242188,6,1343,10,3,-0.011585172591685122,-0.3266378643749693,-0.011861005072308917,-0.011136801950979214,0.00557312836951418,0.1571314310683809,0.006628646670076677,0.0008209597151403458,0.02106971414673931
first_test_240deg-s,240,first,apriltag_multitag_fused_20260615_185008.xlsx,242.28390311631912,24.810000000000002,2181,-4.390000000000001,-4.324999999999812,-4.3149999999998085,0.06500000000018868,-0.01000000000000334,5.429324298068504,5.47132776874696,5.480994414718212,3.565233076936703,3.613834631350946,3.613922749847026,-0.4249136748191425,-0.4586399197187883,-0.46311716416789667,0.8861873908115097,6068.753645958182,6065.614973262032,6068.771447335426,6065.614973262032,29.000043869018555,4.194562270016275,1.942899169135072,0.9999275207519531,44.99997138977051,128.9999485015869,16,1345,19,1,-0.04200347067845556,-0.7677015973779828,-0.048601554414243076,0.03372624489964582,0.009666645971251775,0.17667824666745607,8.811849607992528e-05,-0.004477244449108353,0.051745333490252274
seconed_test_240deg-s,240,seconed,apriltag_multitag_fused_20260615_185234.xlsx,242.4270035367258,28.67,2567,-2.9300000000000006,-2.854000000000064,-2.845000000000065,0.07599999999993656,-0.008999999999999009,4.542265591625664,4.550802675088648,4.550581337191381,2.9248330380025562,2.9718449541964227,2.9743049733049998,-0.37950255245112924,-0.36849102519473964,-0.366056020928269,0.9000420911528584,6991.800376394029,6990.401069518716,6991.824414458851,6990.401069518716,29.000043869018555,3.8125419744363622,1.8927953687516623,0.9999275207519531,39.00003433227539,126.9998550415039,7,1340,10,2,-0.00853708346298454,-0.18759511392829709,-0.047011916193866465,-0.011011527256389597,-0.00022133789726730413,-0.004863711153175688,0.0024600191085770717,0.0024350042664706417,0.02001754779728033
third_test_240deg-s,240,third,apriltag_multitag_fused_20260615_185521.xlsx,241.7972025040324,24.809999999999995,2181,-36.53,-36.46700000000131,-36.45400000000134,0.06299999999868788,-0.012999999999969702,3.869625998847598,3.8801845921523026,3.889356052819295,2.7717281610259614,2.8079261100799315,2.815705829969483,-0.4420062009846513,-0.4383268140029894,-0.43829065038969467,0.9233967961510019,6066.502972110436,6064.652406417113,6066.513866192036,6064.652406417113,29.000043869018555,3.680462280249373,1.8995737617216248,0.9999275207519531,37.56003379821772,128.00002098083496,5,1345,8,3,-0.010558593304704544,-0.27211574743272177,-0.03619794905397011,-0.003679386981661925,0.00917146066699237,0.23636660703054455,0.007779719889551284,3.616361329472628e-05,0.030513961383259004
first_test_270deg-s,270,first,apriltag_multitag_fused_20260615_185848.xlsx,273.1659174879775,25.92,2292,-3.01,-2.937000000000063,-2.927000000000064,0.0729999999999369,-0.009999999999998899,6.378074233364575,6.502797936280789,6.526174782348787,4.421237139563149,4.5085381261177915,4.524512912025098,-0.550980855017934,-0.618265092117137,-0.630034906435391,0.8665101420091976,7137.255879511022,7136.951871657754,7137.282165890479,7136.951871657754,29.000043869018555,4.00853291505297,2.2783112959747736,0.9999275207519531,40.600013732910064,128.9999485015869,8,1341,11,1,-0.12472370291621449,-1.9180005920274523,-0.08730098655464236,0.06728423709920295,0.023376846067997725,0.35948904297905776,0.015974785907306277,-0.011769814318253968,0.0042596315448745585
seconed_test_270deg-s,270,seconed,apriltag_multitag_fused_20260615_190114.xlsx,273.38463551766176,29.41,2641,-5.8999999999999995,-5.816999999999805,-5.805999999999801,0.0830000000001947,-0.011000000000003674,4.8835839862447346,4.9089502764298505,4.904241192924308,3.283121477581088,3.378903585156916,3.37876155832817,-0.5391135481159937,-0.5510050036843297,-0.5528007690742609,0.8969771830972545,8077.202587913665,8075.454545454545,8077.22797306287,8075.695187165776,29.000043869018555,4.045130215108999,1.9237588652734092,0.9999275207519531,38.00010681152344,131.00004196166992,9,1339,13,2,-0.025366290185115936,-0.5167355291193572,-0.09578210757582806,0.01189145556833604,-0.004709083505542111,-0.09592852321508749,-0.0001420268287462001,-0.0017957653899312032,0.02164636614918842
third_test_270deg-s,270,third,apriltag_multitag_fused_20260615_193619.xlsx,272.6148457557365,26.67000000000001,2367,-41.06,-40.99600000000132,-40.98900000000133,0.06399999999868555,-0.006999999999983686,8.080158853232053,8.072911266775243,8.079485899190717,5.59561363187156,5.599212114721023,5.605554861905253,-0.4375897718895948,-0.4536029386176717,-0.45430186377547466,0.8469153646778963,7341.369762490147,7337.406417112299,7341.382420929206,7337.406417112299,30.99989891052246,5.210733959040199,2.8599007481036915,1.0001659393310547,48.00009727478027,131.99996948242188,20,1248,24,3,0.007247586456809785,0.08977661487049718,-0.0035984828494637355,0.0160131667280769,0.006574632415473403,0.08144066246004542,0.006342747184229225,-0.0006989251578029543,0.05401561740677957
first_test_300deg-s,300,first,apriltag_multitag_fused_20260615_193919.xlsx,302.4814353683722,22.560000000000002,1956,-3.0700000000000003,-2.9890000000000643,-2.973000000000066,0.08099999999993601,-0.015999999999998238,5.733495189169405,5.64674657853928,5.6237857554372255,4.377932062360427,4.3403124638122605,4.3195785586497815,-0.3897557267423278,-0.4144436055645347,-0.4230869595931881,0.9072981565740066,6909.37774186269,6906.6577540106955,6909.385765807118,6906.6577540106955,29.999971389770508,4.151935987098003,2.435783152401767,0.9999275207519531,41.0001277923584,129.99987602233887,5,1286,8,1,0.08674861063012518,1.5362582581590833,0.03761959854816688,0.02468787882220691,-0.022960823102054384,-0.4066203925162508,-0.020733905162479083,-0.008643354028653405,0.039382114314476094
seconed_test_300deg-s,300,seconed,apriltag_multitag_fused_20260615_194159.xlsx,302.6614611076678,25.89,2289,-5.570000000000001,-5.4869999999998065,-5.4719999999998015,0.0830000000001947,-0.01500000000000501,9.090373885312388,9.051791096596071,9.05334947567725,5.610799455937904,5.5686308872887595,5.569364386728086,-0.5832465098840748,-0.5920576201668502,-0.5952277071726236,0.8200132835694968,7918.309995959385,7916.871657754011,7918.333544546833,7916.871657754011,29.999971389770508,4.815111518752552,2.504952389735761,0.9999275207519531,44.13013935089099,134.00006294250488,13,1288,18,2,0.03858278871631704,0.4262447984557013,0.042168568649144866,0.00881111028277537,0.001558379081178174,0.01721625106620283,0.000733499439326657,-0.003170087005773481,0.018168012158755777
third_test_300deg-s,300,third,apriltag_multitag_fused_20260615_194509.xlsx,303.0669412530589,23.22,2022,-2.789999999999999,-2.7170000000000623,-2.6970000000000645,0.0729999999999369,-0.019999999999997797,4.652076448637307,4.796964145742563,4.828135938366048,3.417716806502457,3.5120140430728584,3.5306192184448943,-0.5595365849860436,-0.5706874032378616,-0.5705040312277795,0.9056788411517659,7125.910613813163,7122.513368983958,7125.914885723959,7122.513368983958,29.999971389770508,3.743549190413079,1.9216795804817983,0.9999275207519531,37.000179290771484,131.99996948242188,2,1303,5,3,-0.14488769710525595,-3.0204040035164272,-0.09429723657040157,0.011150818251817962,0.031171792623484684,0.6498233398544474,0.018605175372035987,0.0001833720100821168,0.047697275571275156
