setpoint,repeat,dt_onset_s,dt_refined_s,dt_transition_s,RMS_refined,RMS_onset,RMS_transition,dRMS_onset,pct_onset,dRMS_transition,pct_transition,MAE_refined,bias_refined,cam_total_deg,enc_total_deg,angle_pct_diff
120,2,-3.1900000000000004,-3.156000000000059,-3.1540000000000594,3.5826397880567944,3.5937972779397396,3.5822676081457114,0.011157489882945182,0.3114320875947439,-0.00037217991108295934,-0.010388426777474825,2.6265052859695204,-0.1632728751138383,3041.172843385888,3038.342245989305,0.09316255929757361
120,3,-4.220000000000001,-4.183999999999822,-4.17999999999982,2.32748008862103,2.353260943198203,2.3293480366007904,0.025780854577172718,1.1076724008602448,0.0018679479797603094,0.0802562388779454,1.7449149982261132,-0.2377868954825623,3386.430816888015,3385.5882352941176,0.024887302747389494
150,1,-3.7200000000000006,-3.684999999999822,-3.6779999999998196,3.5274999725667633,3.477080507266724,3.538223332571547,-0.05041946530003916,-1.4293257460566824,0.0107233600047838,0.3039931988144287,2.5614061137556248,-0.30372407296650206,3470.276341818065,3465.2406417112297,0.14532035802132057
150,2,-3.0900000000000007,-3.043000000000061,-3.035000000000062,2.296440576938092,2.200301009225952,2.31314602534933,-0.09613956771213994,-4.186460066836369,0.01670544841123789,0.7274496270010926,1.8762431719135528,-0.19769632604080428,3491.585982660578,3488.823529411765,0.07918007963213841
150,3,-2.6400000000000006,-2.593000000000061,-2.5870000000000615,3.9229494998017187,3.9022318107419234,3.9248785765661554,-0.02071768905979532,-0.5281151098387189,0.0019290767644366547,0.04917414217374345,2.470698807224295,-0.3002453345617357,4095.236860520275,4090.668449197861,0.11167884611401516
180,1,-2.7799999999999994,-2.7180000000000613,-2.7140000000000617,3.4558173426267773,3.4174293344433737,3.45327201010563,-0.0383880081834036,-1.1108228351624845,-0.0025453325211475253,-0.07365356061361768,2.444504888990318,-0.49745256921750364,5121.988024606424,5117.486631016042,0.08796102295802082
180,2,-3.120000000000001,-3.0730000000000612,-3.0630000000000623,5.146754644338097,5.055658871385568,5.1599127602723565,-0.0910957729525288,-1.7699653324788371,0.013158115934259307,0.25565850411646185,3.8132277778617696,-0.3861839245386662,3881.652136586004,3880.347593582888,0.03361923053680827
180,3,-2.9400000000000004,-2.882000000000062,-2.8750000000000626,2.8340671799513166,2.8329248124881934,2.829660318130579,-0.0011423674631232394,-0.04030841157205253,-0.004406861820737795,-0.15549602535581022,2.08390009056627,-0.3884843306588488,4388.087610769975,4384.732620320856,0.07651528016943733
210,1,-2.92,-2.8540000000000623,-2.8450000000000633,4.669435940208252,4.693191980291924,4.664907792823774,0.023756040083672048,0.5087560979070324,-0.004528147384477599,-0.09697418365858658,3.1907032690578228,-0.3510330449210683,5429.347414811174,5426.951871657754,0.04414159568892229
210,2,-3.08,-3.03400000000006,-3.0230000000000614,6.322517815692152,6.316256037225553,6.327212055598817,-0.006261778466599033,-0.0990393170748785,0.004694239906664954,0.07424636898632536,4.505701712178919,-0.5504463551869455,4709.06296086916,4706.951871657754,0.044850452457721
210,3,-10.68,-10.617000000000312,-10.610000000000316,3.546794127451719,3.535208954860034,3.5523672558212334,-0.011585172591685122,-0.3266378643749693,0.00557312836951418,0.1571314310683809,2.2523528411509983,-0.39249492095359173,5857.4905810351,5856.256684491978,0.02106971414673931
240,1,-4.390000000000001,-4.324999999999812,-4.3149999999998085,5.47132776874696,5.429324298068504,5.480994414718212,-0.04200347067845556,-0.7677015973779828,0.009666645971251775,0.17667824666745607,3.613834631350946,-0.4586399197187883,6068.753645958182,6065.614973262032,0.051745333490252274
240,2,-2.9300000000000006,-2.854000000000064,-2.845000000000065,4.550802675088648,4.542265591625664,4.550581337191381,-0.00853708346298454,-0.18759511392829709,-0.00022133789726730413,-0.004863711153175688,2.9718449541964227,-0.36849102519473964,6991.800376394029,6990.401069518716,0.02001754779728033
240,3,-36.53,-36.46700000000131,-36.45400000000134,3.8801845921523026,3.869625998847598,3.889356052819295,-0.010558593304704544,-0.27211574743272177,0.00917146066699237,0.23636660703054455,2.8079261100799315,-0.4383268140029894,6066.502972110436,6064.652406417113,0.030513961383259004
270,1,-3.01,-2.937000000000063,-2.927000000000064,6.502797936280789,6.378074233364575,6.526174782348787,-0.12472370291621449,-1.9180005920274523,0.023376846067997725,0.35948904297905776,4.5085381261177915,-0.618265092117137,7137.255879511022,7136.951871657754,0.0042596315448745585
270,2,-5.8999999999999995,-5.816999999999805,-5.805999999999801,4.9089502764298505,4.8835839862447346,4.904241192924308,-0.025366290185115936,-0.5167355291193572,-0.004709083505542111,-0.09592852321508749,3.378903585156916,-0.5510050036843297,8077.202587913665,8075.454545454545,0.02164636614918842
270,3,-41.06,-40.99600000000132,-40.98900000000133,8.072911266775243,8.080158853232053,8.079485899190717,0.007247586456809785,0.08977661487049718,0.006574632415473403,0.08144066246004542,5.599212114721023,-0.4536029386176717,7341.369762490147,7337.406417112299,0.05401561740677957
300,1,-3.0700000000000003,-2.9890000000000643,-2.973000000000066,5.64674657853928,5.733495189169405,5.6237857554372255,0.08674861063012518,1.5362582581590833,-0.022960823102054384,-0.4066203925162508,4.3403124638122605,-0.4144436055645347,6909.37774186269,6906.6577540106955,0.039382114314476094
300,2,-5.570000000000001,-5.4869999999998065,-5.4719999999998015,9.051791096596071,9.090373885312388,9.05334947567725,0.03858278871631704,0.4262447984557013,0.001558379081178174,0.01721625106620283,5.5686308872887595,-0.5920576201668502,7918.309995959385,7916.871657754011,0.018168012158755777
300,3,-2.789999999999999,-2.7170000000000623,-2.6970000000000645,4.796964145742563,4.652076448637307,4.828135938366048,-0.14488769710525595,-3.0204040035164272,0.031171792623484684,0.6498233398544474,3.5120140430728584,-0.5706874032378616,7125.910613813163,7122.513368983958,0.047697275571275156
